,Rating,Title,Review,Review_Date
0,4.0,Good phone-could have been better !,"I've purchased the 6GB version of this phone which comes with an extendable 2 GB RAM (virtual memory) capability.Good phone, but being the least expensive category offering from One-plus, there are some small evident points that will get noticed. First thing is the confusing placement of the power button (and hence the finger sensor). Daily handling of the mobile phone feels a bit annoying with fingers locking/un-locking the phone while you try to handle it and place it into Your pockets. Although this is not a big problem, it is still something to think about. The second point is about lag here and there (only to a noticeable bit), which i am hoping might go away with updates/improvements. The third point is about the speaker volume. The speaker is good only at its near maximum levels i.e the volume does not seem to creep up steadily, rather louds out only at its top volume limits. The fourth point and final one is about the camera shoots where the colors are not very realistic. Photos taken in day light especially on skin tone tend to be over coloured.  LED flash is average and could have been better.The good and awesome part about this phone is about its practicality for daily users with one-plus strong brand part for the pricing offered. Battery life is very good and its re-charging capability is also very impressive for someone like me who has just moved from a Android 10 phone. Build of the phone is apt and will survive normal falls or mishaps from happening. The Phone does feel solid in hand. Stock android is clean and nothing to complain about.Overall a clean phone with small improvements that would make it an all-rounder and cut above the rest keeping one-plus branding in mind.",Reviewed in India 🇮🇳 on 19 December 2022
1,4.0,Nice phone in this budget,Very good phone in this budget. But last year this phone was selling 18k with no cost emi. But now I purchased almost 20k with 3 month EMI . One more thing all four corners have lineing in this phone so don't confused. It's not broken. It's design,Reviewed in India 🇮🇳 on 3 May 2023
2,4.0,A mildly perfect phone,"I will try to keep this review short. This review is just from the perspective of an average user I believe after you buy a phone and start to use it, you change yourself to adjust with it without complaining much.There is always a better device out there in the same price but just use it, it's just a tool nothing much.Pros:1. Camera is pretty good no cons about this.2. Software is sweet and other little features from one plus make it more sweet3. There aren't any negatives about speed or power it can run 99% of the apps people use generally without any issue.4. Build quality is good as well given that you going to use some sort of case on it.Cons1.The only con I see it is the battery you need to charge it twice in most of the days. If you browse internet use camera for some time watch YouTube, Instagram, Facebook or other media apps for like an hour or two on mid brightness or more then maximum achievable screen on time is around 7-8.5 hours. But given that high speed charger, battery isn't really an issue.Do some tweaking's around the settings and delete the preinstalled apps stop unnecessary apps from the background you can easily achieve 9hr plus screen on time.Peace",Reviewed in India 🇮🇳 on 12 January 2023
3,4.0,Review,"Over all good mobile, camera quality is not matching.",Reviewed in India 🇮🇳 on 3 May 2023
4,4.0,About phone,Awesome 📱 Phone,Reviewed in India 🇮🇳 on 2 May 2023
5,4.0,Ok ok,Good one but not to that extended,Reviewed in India 🇮🇳 on 2 May 2023
6,4.0,Superb,Good looking and camera clarity is fabulous battery life is very nice fast charging amazing 🤩 fast fingure scanner working software is good no hanging issue.Must by 👍,Reviewed in India 🇮🇳 on 23 April 2023
7,4.0,Nice,Good products,Reviewed in India 🇮🇳 on 2 May 2023
8,4.0,Satisfied and 5G is working,Very much satisfied. Was bought for calling purpose. 5G is working on it but battery drain is very high on this mode.Other than this..loving it,Reviewed in India 🇮🇳 on 25 April 2023
9,4.0,Good in this price,"After using 6 months, product is good, charging and battery backup is awesome.",Reviewed in India 🇮🇳 on 21 April 2023
